"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"mvn:Parameter:1                     ","Class","Parameter","1.0.0.0","mvn","The Parameter class provides information about a specified data parameter.","ppi","","","","","","","","","","",""
"mvn:Parameter:2                      pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"mvn:Parameter:2                      pds:description:1                   ","Attribute","description","n/a","pds","The description attribute provides a statement, picture in words, or account that describes or is otherwise relevant to the object.","pds","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"mvn:Parameter:2                      pds:value:1                         ","Attribute","value","n/a","pds","The value attribute provides a single, allowed numerical or character string value.","pds","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"mvn:MAVEN:1                         ","Class","MAVEN","1.0.0.0","mvn","The MAVEN class is the container for MAVEN mission-specific metadata elements.","ppi","","","","","","","","","","",""
"mvn:MAVEN:2                          mvn:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","mvn","The mission_phase_name attribute provides the mission-defined name of a mission phase.","ppi","ASCII_Short_String_Collapsed","1","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mvn:MAVEN:2                          mvn:mission_phase_name:2             Value:Launch","Value","Launch","","","The period of observations near the time of launch."
"mvn:MAVEN:2                          mvn:mission_phase_name:2             Value:Cruise","Value","Cruise","","","The period of observations while traveling to a destination."
"mvn:MAVEN:2                          mvn:mission_phase_name:2             Value:Orbital Insertion","Value","Orbital Insertion","","","The period of observations during the orbital insertion."
"mvn:MAVEN:2                          mvn:mission_phase_name:2             Value:Prime Mission","Value","Prime Mission","","","The period of observations during the primary objective of the mission."
"mvn:MAVEN:2                          mvn:spacecraft_clock_start_count:1  ","Attribute","spacecraft_clock_start_count","n/a","mvn","The spacecraft_clock_start_count attribute provides the value of the spacecraft clock at the beginning of a time period of interest.","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mvn:MAVEN:2                          mvn:spacecraft_clock_stop_count:1   ","Attribute","spacecraft_clock_stop_count","n/a","mvn","The spacecraft_clock_stop_count attribute provides the value of the spacecraft clock at the end of a time period of interest.","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mvn:MAVEN:2                          mvn:mission_event_time_start_count:1","Attribute","mission_event_time_start_count","n/a","mvn","The mission_event_time_start_count attribute provides the mission event time value at the beginning of a time period of interest.","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mvn:MAVEN:2                          mvn:mission_event_time_stop_count:1 ","Attribute","mission_event_time_stop_count","n/a","mvn","The mission_event_time_stop_count attribute provides the mission event time value at the end of a time period of interest.","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
