"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"rtqbb:Band_Bin_Set_RTQBB130614:1      ","Class","Band_Bin_Set_RTQBB130614","1.0.0.0","rtqbb","The Band_Bin_Set class contains the spectral characteristics for all the spectral bands in a qube.","rtqbb","","","","","","","","","","",""
"rtqbb:Band_Bin_Set_RTQBB130614_Choice:1","Class","Band_Bin_Set_RTQBB130614_Choice","1.0.0.0","rtqbb","The Band_Bin_Set class contains the spectral characteristics for all the spectral bands in a qube.","rtqbb","","","","","","","","","","",""
"rtqbb:XSChoice#1:1                    ","Class","XSChoice#1","1.0.0.0","rtqbb","TBD_description","TBD_steward","","","","","","","","","","",""
"rtqbb:Band_Bin_Choice_1:1             ","Class","Band_Bin_Choice_1","1.0.0.0","rtqbb","The Band_Bin class specifies the characteristics of an individual spectral band in a spectral qube.","rtqbb","","","","","","","","","","",""
"rtqbb:Band_Bin_Choice_1:2              rtqbb:band_number_RTQBB130614:1       ","Attribute","band_number_RTQBB130614","n/a","rtqbb","The band_number attribute provides a number corresponding to the band in the spectral qube. The band number is equivalent to the instrument band number.","rtqbb","ASCII_Integer","1","1","1","512","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"rtqbb:Band_Bin_Choice_1:2              rtqbb:band_width_RTQBB130614:1        ","Attribute","band_width_RTQBB130614","n/a","rtqbb","The band_width attributes provides the width, at half height, of the band.","rtqbb","ASCII_Real","1","1","0","Unbounded","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rtqbb:Band_Bin_Choice_1:2              rtqbb:center_wavelength_RTQBB130614:1 ","Attribute","center_wavelength_RTQBB130614","n/a","rtqbb","The center_wavelength attribute provides the wavelength or frequency describing the center of a bin along the band axis of a spectral qube. When describing data from a spectrometer, the value corresponds to the peak of the response function for a particular detector and/or grating position.","rtqbb","ASCII_Real","1","1","0","Unbounded","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"rtqbb:Band_Bin_Choice_2:1             ","Class","Band_Bin_Choice_2","1.0.0.0","rtqbb","The Band_Bin class specifies the characteristics of an individual spectral band in a spectral qube.","rtqbb","","","","","","","","","","",""
"rtqbb:Band_Bin_Choice_2:2              pds:scaling_factor:1                ","Attribute","scaling_factor","n/a","pds","The scaling_factor attribute is the scaling factor to be applied to each stored value in order to recover an original  value. The observed value (Ov) is calculated from the stored value (Sv) thus: Ov = (Sv * scaling_factor) + value_offset. The default value is 1.","pds","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rtqbb:Band_Bin_Choice_2:2              pds:standard_deviation:1            ","Attribute","standard_deviation","n/a","pds","The standard_deviation attribute provides the standard deviation of the stored array element values after application of any bit mask (Special_Constants values are excluded from the computation).","pds","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rtqbb:Band_Bin_Choice_2:2              pds:value_offset:1                  ","Attribute","value_offset","n/a","pds","The value_offset attribute is the offset to be applied to each stored value in order to recover an original  value. The observed value (Ov) is calculated from the stored value (Sv) thus: Ov = (Sv * scaling_factor) + value_offset. The default value is 0.","pds","ASCII_Real","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"rtqbb:Band_Bin_Any_1:1                ","Class","Band_Bin_Any_1","1.0.0.0","rtqbb","The Band_Bin class specifies the characteristics of an individual spectral band in a spectral qube.","rtqbb","","","","","","","","","","",""
"rtqbb:XSAny#2:1                       ","Class","XSAny#2","1.0.0.0","rtqbb","TBD_description","TBD_steward","","","","","","","","","","",""
"rtqbb:Band_Bin_RTQBB130614:1          ","Class","Band_Bin_RTQBB130614","1.0.0.0","rtqbb","The Band_Bin class specifies the characteristics of an individual spectral band in a spectral qube.","rtqbb","","","","","","","","","","",""
"rtqbb:Band_Bin_RTQBB130614:2           rtqbb:band_number_RTQBB130614:1       ","Attribute","band_number_RTQBB130614","n/a","rtqbb","The band_number attribute provides a number corresponding to the band in the spectral qube. The band number is equivalent to the instrument band number.","rtqbb","ASCII_Integer","1","1","1","512","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"rtqbb:Band_Bin_RTQBB130614:2           rtqbb:band_width_RTQBB130614:1        ","Attribute","band_width_RTQBB130614","n/a","rtqbb","The band_width attributes provides the width, at half height, of the band.","rtqbb","ASCII_Real","1","1","0","Unbounded","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
