"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"alt:Local_Internal_Reference:1      ","Class","Local_Internal_Reference","1.0.0.0","alt","The Local_Internal_Reference class is used to cross-reference other classes or objects within the product.","ppi","","","","","","","","","","",""
"alt:Local_Internal_Reference:2       pds:local_identifier_reference:1    ","Attribute","local_identifier_reference","n/a","pds","The local_identifier_reference attribute provides the value of the local_identifier of the entity described by the referencing class. Note that a local_identifier attribute, with the same value as this local_identifier_reference, must be present within the label.","pds","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"alt:Local_Internal_Reference:2       alt:local_reference_type:1          ","Attribute","local_reference_type","n/a","alt","The local_reference_type attribute provides the name of an association between an entity identified by a local_identifier_reference and another corresponding entity identified by a local_identifier","ppi","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"alt:Local_Internal_Reference:2       alt:local_reference_type:2           Value:data_values_to_data_","Value","data_values_to_data_values","","","A reference to the array containing data."
"alt:Local_Internal_Reference:2       pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"alt:Data_Values:1                   ","Class","Data_Values","1.0.0.0","alt","The Data_Values class describes the values stored in a data array.","ppi","","","","","","","","","","",""
"alt:Alternate_Values:1              ","Class","Alternate_Values","1.0.0.0","alt","The Alternate_Values describes a direct one-to-one relationship of arrays of data values. Each data array must have the same dimensionality and number of elements.","ppi","","","","","","","","","","",""
"alt:Alternate_Values:2               pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"alt:Alternate_Values:2               pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"alt:Alternate_Values:2               pds:description:1                   ","Attribute","description","n/a","pds","The description attribute provides a statement, picture in words, or account that describes or is otherwise relevant to the object.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
