"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"geom:Body_Identification_Base:1      ","Class","Body_Identification_Base","1.0.0.0","geom","The Body_Identification_Base class provides multiple attributes which can be used to identify a physical object (spacecraft, planet instrument, transmitter, system barycenter, etc.). At least one must be used. ","geo","","","","","","","","","","",""
"geom:Body_Identification_Base:2       geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Body_Identification_Base:2       pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Frame_Identification_Base:1     ","Class","Frame_Identification_Base","1.0.0.0","geom","The Frame_Identification_Base class provides multiple attributes which can be used to identify a reference frame. At least one must be used. ","geo","","","","","","","","","","",""
"geom:Frame_Identification_Base:2      geom:frame_spice_name:1              ","Attribute","frame_spice_name","n/a","geom","The frame_spice_name attribute is a NAIF-recognized string identifier for a reference frame associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Frame_Identification_Base:2      pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Central_Body_Identification:1   ","Class","Central_Body_Identification","1.0.0.0","geom","The Central_Body_Identification class uniquely identifies the body which is the central body associated with an observation (e.g., Saturn for Saturn system observations). ","geo","","","","","","","","","","",""
"geom:Central_Body_Identification:2    geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Central_Body_Identification:2    pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Coordinate_System_Origin_Identification:1","Class","Coordinate_System_Origin_Identification","1.0.0.0","geom","The Coordinate_System_Origin_Identification class uniquely identifies the body that is the origin of a coordinate system. Note that the origin of coordinate system does not necessarily correspond to either end point of a vector. ","geo","","","","","","","","","","",""
"geom:Coordinate_System_Origin_Identification:2 geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_System_Origin_Identification:2 pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Observer_Identification:1       ","Class","Observer_Identification","1.0.0.0","geom","Within the Geometry dictionary context, an "Observer" is the body on the "from" end of a vector, or other translation through space. ","geo","","","","","","","","","","",""
"geom:Observer_Identification:2        geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Observer_Identification:2        pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Reference_Frame_Identification:1","Class","Reference_Frame_Identification","1.0.0.0","geom","The Reference_Frame_Identification class is a base class for identifying reference frames. These are frames in the NAIF sense, i.e., three orthogonal axes with a specified orientation, but without a fixed origin. ","geo","","","","","","","","","","",""
