"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"sbngeom:Celestial_Coordinates:1         ","Class","Celestial_Coordinates","1.0.0.0","sbngeom"," This class specifies right ascension and declination in a specific reference frame and coordinate system. ","sbn","","","","","","","","","","",""
"sbngeom:Celestial_Coordinates:2          sbngeom:reference_frame_id:1            ","Attribute","reference_frame_id","n/a","sbngeom"," An abbreviation for the reference frame for corresponding vector components ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sbngeom:Celestial_Coordinates:2          sbngeom:reference_frame_id:2             Value:J2000","Value","J2000","","","
                    The coordinates are given in the J2000 reference epoch and equinox.
                "
"sbngeom:Celestial_Coordinates:2          sbngeom:reference_frame_id:2             Value:ICRF","Value","ICRF","","","
                    The coordinates are given in the International Celestial Reference Frame.
                "
"sbngeom:Celestial_Coordinates:2          sbngeom:coordinate_system_origin:1      ","Attribute","coordinate_system_origin","n/a","sbngeom"," One of a set of predefined strings that indicates the origin of a coordinate system used for the association coordinates ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sbngeom:Celestial_Coordinates:2          sbngeom:coordinate_system_origin:2       Value:spacecraft","Value","spacecraft","","","
                    The coordinate system origin is at the center of mass of the spacecraft.
                "
"sbngeom:Celestial_Coordinates:2          sbngeom:light_time_flag:1               ","Attribute","light_time_flag","n/a","sbngeom"," Flag indicating whether a light travel time correction has been applied to the associated values. A value of "true" indicates it has been applied; "false" indicates no correction has been applied. ","sbn","ASCII_Boolean","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"sbngeom:Celestial_Coordinates:2          sbngeom:stellar_aberration_flag:1       ","Attribute","stellar_aberration_flag","n/a","sbngeom"," This flag indicates whether a correction for stellar aberration has been applied to the associated coordinates. A value of "true" indicates that the correction has been applied; "false" indicates no correction for aberration has beem applied. ","sbn","ASCII_Boolean","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"sbngeom:Celestial_Coordinates:2          sbngeom:right_ascension:1               ","Attribute","right_ascension","n/a","sbngeom"," Right ascension in the associated celestial reference frame and coordinate system ","sbn","ASCII_Real","1","1","0.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"sbngeom:Celestial_Coordinates:2          sbngeom:declination:1                   ","Attribute","declination","n/a","sbngeom"," Declination in the associated celestrial reference frame and coordinate system ","sbn","ASCII_Real","1","1","-90.0","90.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"sbngeom:Display_Direction:1             ","Class","Display_Direction","1.0.0.0","sbngeom"," This class mimics the Display_Direction class in the Display dictionary. It's here until I figure out how to include that class directly. ","sbn","","","","","","","","","","",""
"sbngeom:Display_Direction:2              sbngeom:comment:1                       ","Attribute","comment","n/a","sbngeom"," Free-format text for miscellaneous comments to the end user about the associated attributes or their values. ","sbn","ASCII_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
