"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"disp:Display_Settings:1              ","Class","Display_Settings","1.0.0.0","disp","The Display_Settings class contains one or more classes describing how data should be displayed on a display device.","img","","","","","","","","","","",""
"disp:Local_Internal_Reference:1      ","Class","Local_Internal_Reference","1.0.0.0","disp","The Local_Internal_Reference class is used to cross-reference other Description Objects in a PDS4 label.","img","","","","","","","","","","",""
"disp:Local_Internal_Reference:2       pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"disp:Local_Internal_Reference:2       pds:local_identifier_reference:1    ","Attribute","local_identifier_reference","n/a","pds","The local_identifier_reference attribute provides the value of the local_identifier of the entity described by the referencing class. Note that a local_identifier attribute, with the same value as this local_identifier_reference, must be present within the label.","pds","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"disp:Local_Internal_Reference:2       pds:local_reference_type:1          ","Attribute","local_reference_type","n/a","pds","The local_reference_type attribute provides the name of an association between an entity identified by a local_identifier_reference and another corresponding entity identified by a local_identifier. The values for the local_reference_type are expected to be enumerated for appropriate contexts in the Schematron files of local (i.e., discipline and mission) data dictionaries.","pds","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"disp:Display_Direction:1             ","Class","Display_Direction","1.0.0.0","disp","The Display_Direction class specifies how two of the dimensions of an Array object should be displayed in the vertical (line) and horizontal (sample) dimensions of a display device.","img","","","","","","","","","","",""
"disp:Display_Direction:2              pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"disp:Display_Direction:2              disp:horizontal_display_axis:1       ","Attribute","horizontal_display_axis","n/a","disp","The horizontal_display_axis attribute identifies, by name, the axis of an Array (or Array subclass) that is intended to be displayed in the horizontal or "sample" dimension on a display device. The value of this attribute must match the value of one, and only one, axis_name attribute in an Axis_Array class of the associated Array.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"disp:Display_Direction:2              disp:horizontal_display_direction:1  ","Attribute","horizontal_display_direction","n/a","disp","The horizontal_display_direction attribute specifies the direction across the screen of a display device that data along the horizontal axis of an Array is supposed to be displayed.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","13","13","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"disp:Display_Direction:2              disp:horizontal_display_direction:2   Value:Left to Right","Value","Left to Right","","","The lowest indexed element along an array axis should be displayed at the left edge of a display device and elements with higher indices should be displayed further to the right. Note that this is the standard display direction for most major image formats."
"disp:Display_Direction:2              disp:horizontal_display_direction:2   Value:Right to Left","Value","Right to Left","","","The lowest indexed element along an array axis should be displayed at the right edge of a display device and elements with higher indices should be displayed further to the left. Note that virtually no image display formats use this display direction. Use this only when deliberately mirroring the image around the vertical axis."
"disp:Display_Direction:2              disp:vertical_display_axis:1         ","Attribute","vertical_display_axis","n/a","disp","The vertical_display_axis attribute identifies, by name, the axis of an Array (or Array subclass) that is intended to be displayed in the vertical or "line" dimension on a display device. The value of this attribute must match the value of one, and only one, axis_name attribute in an Axis_Array class of the associated Array.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"disp:Display_Direction:2              disp:vertical_display_direction:1    ","Attribute","vertical_display_direction","n/a","disp","The vertical_display_direction attribute specifies the direction along the screen of a display device that data along the vertical axis of an Array is supposed to be displayed.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","13","13","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"disp:Display_Direction:2              disp:vertical_display_direction:2     Value:Top to Bottom","Value","Top to Bottom","","","The lowest indexed element along an array axis should be displayed at the top edge of a display device and elements with higher indices should be displayed lower down. This is the display direction typically used for VICAR formatted data."
"disp:Display_Direction:2              disp:vertical_display_direction:2     Value:Bottom to Top","Value","Bottom to Top","","","The lowest indexed element along an array axis should be displayed at the bottom edge of a display device and elements with higher indices should be displayed higher up. This is the display direction typically used for FITS formatted data."
"disp:Color_Display_Settings:1        ","Class","Color_Display_Settings","1.0.0.0","disp","The Color_Display_Settings class provides guidance to data users on how to display a multi-banded Array object on a color-capable display device.","img","","","","","","","","","","",""
"disp:Color_Display_Settings:2         disp:color_display_axis:1            ","Attribute","color_display_axis","n/a","disp","The color_display_axis attribute identifies, by name, the axis of an Array (or Array subclass) that is intended to be displayed in the color dimension of a display device. I.e., bands from this dimension will be loaded into the red, green, and blue bands of the display device. The value of this attribute must match the value of one, and only one, axis_name attribute in an Axis_Array class of the associated Array.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"disp:Color_Display_Settings:2         pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"disp:Color_Display_Settings:2         disp:red_channel_band:1              ","Attribute","red_channel_band","n/a","disp","The red_channel_band attribute identifies the number of the band, along the band axis, that should be loaded, by default, into the red channel of a display device. The first band along the band axis has band number 1.","img","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"disp:Color_Display_Settings:2         disp:green_channel_band:1            ","Attribute","green_channel_band","n/a","disp","The green_channel_band attribute identifies the number of the band, along the band axis, that should be loaded, by default, into the green channel of a display device. The first band along the band axis has band number 1.","img","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"disp:Color_Display_Settings:2         disp:blue_channel_band:1             ","Attribute","blue_channel_band","n/a","disp","The blue_channel_band attribute identifies the number of the band, along the band axis, that should be loaded, by default, into the blue channel of a display device. The first band along the band axis has band number 1.","img","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
