abstract,ABSTRACT_TEXT
archivestat,ARCHIVE_STATUS
archivestsnt,ARCHIVE_STATUS_NOTE
citdesc,CITATION_DESCRIPTION
conflvlnote,CONFIDENCE_LEVEL_NOTE
curatingndid,CURATING_NODE_ID
dataobjtype,DATA_OBJECT_TYPE
defullname,DE_FULLNAME
dsid,DATA_SET_ID
dsname,DATA_SET_NAME
dsd,DATASET_DESCRIPTION
dsreleasedt,DATA_SET_RELEASE_DATE
dstersedesc,DATA_SET_TERSE_DESCRIPTION
fullname,FULL_NAME
insthostid,INSTRUMENT_HOST_ID
insthostname,INSTRUMENT_HOST_NAME
insthosttype,INSTRUMENT_HOST_TYPE
instid,INSTRUMENT_ID
instname,INSTRUMENT_NAME
insttype,INSTRUMENT_TYPE
msnname,MISSION_NAME
msnstrtdate,MISSION_START_DATE
msnstopdate,MISSION_STOP_DATE
nodeid,NODE_ID
nodename,NODE_NAME
nssdcdsid,NSSDC_DATA_SET_ID
onlineid,ON_LINE_IDENTIFICATION
reslink,RESOURCE_LINK
resname,RESOURCE_NAME
sbntarglocator,SBN_TARGET_LOCATOR
stoptime,STOP_TIME
strttime,START_TIME
targname,TARGET_NAME
targtersedesc,TARGET_TERSE_DESCRIPTION
targtype,TARGET_TYPE
telephonenum,TELEPHONE_NUMBER
volumeid,VOLUME_ID
volumename,VOLUME_NAME
