 Date       Time            JTime           Pwr(mW)-A1       Pwr(mW)-A2      Pwr(mW)-B1/2     Pwr(mW)-B3/4       Pwr(mW)-C     Pwr(mW)-Power      Pwr(mW)-CPU     Pwr(mW)-PSD1     Pwr(mW)-PSD2  
24JUN02  00:23:01.21  1052740823.0185547    200.0000000      710.0000000      300.0000000      425.0000000      355.0000000      205.0000000      735.0000000      882.6777884      772.3709227  
24JUN02  00:28:00.99  1052740828.0166016    205.0000000      710.0000000      305.0000000      420.0000000      350.0000000      205.0000000      770.0000000      881.3412233      771.7303705  
24JUN02  00:33:01.10  1052740833.0175781    210.0000000      705.0000000      300.0000000      420.0000000      360.0000000      205.0000000      730.0000000      871.8091744      774.9308398  
24JUN02  00:38:01.00  1052740838.0166016    205.0000000      710.0000000      300.0000000      420.0000000      345.0000000      205.0000000      735.0000000      864.9331260      772.2204536  
24JUN02  00:43:01.00  1052740843.0166016    205.0000000      710.0000000      300.0000000      420.0000000      350.0000000      200.0000000      750.0000000      881.4082741      773.6623035  
24JUN02  00:48:01.00  1052740848.0166016    215.0000000      705.0000000      300.0000000      425.0000000      335.0000000      200.0000000      735.0000000      868.3736562      769.0001350  
24JUN02  00:53:01.17  1052740853.0195313    215.0000000      695.0000000      305.0000000      420.0000000      350.0000000      200.0000000      720.0000000      864.7051684      783.2039292  
24JUN02  00:58:01.01  1052740858.0166016    205.0000000      700.0000000      305.0000000      420.0000000      345.0000000      205.0000000      745.0000000      875.4658928      784.7514380  
24JUN02  01:03:01.23  1052740863.0205078    205.0000000      705.0000000      305.0000000      415.0000000      350.0000000      210.0000000      720.0000000      883.1796723      777.6033642  
24JUN02  01:08:01.01  1052740868.0156250    215.0000000      705.0000000      305.0000000      435.0000000      355.0000000      200.0000000      715.0000000      877.4974613      788.5762318  
24JUN02  01:13:01.29  1052740873.0214844    205.0000000      705.0000000      300.0000000      430.0000000      280.0000000      205.0000000      745.0000000      875.5088860      788.3371032  
24JUN02  01:18:01.29  1052740878.0205078    205.0000000      700.0000000      305.0000000      415.0000000      355.0000000      200.0000000      720.0000000      876.2711653      785.4671004  
24JUN02  01:23:01.30  1052740883.0205078    210.0000000      715.0000000      300.0000000      420.0000000      360.0000000      205.0000000      725.0000000      863.7357471      770.7027943  
24JUN02  01:28:01.03  1052740888.0166016    200.0000000      705.0000000      300.0000000      415.0000000      355.0000000      205.0000000      700.0000000      877.1051592      771.8548664  
24JUN02  01:33:01.03  1052740893.0166016    205.0000000      710.0000000      300.0000000      425.0000000      360.0000000      205.0000000      705.0000000      877.8692562      785.4214925  
24JUN02  01:38:01.03  1052740898.0166016    205.0000000      710.0000000      310.0000000      425.0000000      345.0000000      210.0000000      780.0000000      859.1556787      789.0551646  
24JUN02  01:43:01.04  1052740903.0166016    200.0000000      700.0000000      305.0000000      425.0000000      350.0000000      205.0000000      730.0000000      878.2708480      792.0789125  
24JUN02  01:48:01.04  1052740908.0166016    205.0000000      710.0000000      300.0000000      420.0000000      345.0000000      200.0000000      740.0000000      873.0981218      774.4021647  
24JUN02  01:53:00.99  1052740913.0166016    205.0000000      710.0000000      305.0000000      415.0000000      350.0000000      210.0000000      765.0000000      861.7012135      785.6621703  
24JUN02  01:58:00.99  1052740918.0166016    200.0000000      710.0000000      310.0000000      415.0000000      345.0000000      205.0000000      705.0000000      882.1385980      772.0810764  
24JUN02  02:03:00.99  1052740923.0166016    215.0000000      710.0000000      320.0000000      420.0000000      345.0000000      200.0000000      745.0000000      873.0865108      790.4994684  
24JUN02  02:08:01.00  1052740928.0166016    225.0000000      705.0000000      300.0000000      420.0000000      355.0000000      205.0000000      730.0000000      879.2504983      787.5848604  
24JUN02  02:12:59.90  1052740932.9980469    200.0000000      710.0000000      305.0000000      415.0000000      350.0000000      210.0000000      740.0000000      862.4587479      787.6939754  
24JUN02  02:18:01.00  1052740938.0166016    210.0000000      710.0000000      305.0000000      420.0000000      355.0000000      210.0000000      745.0000000      876.0225827      771.2064325  
24JUN02  02:23:01.00  1052740943.0166016    210.0000000      710.0000000      305.0000000      415.0000000      345.0000000      205.0000000      765.0000000      871.1820631      791.9299654  
24JUN02  02:28:01.01  1052740948.0166016    210.0000000      700.0000000      305.0000000      425.0000000      345.0000000      205.0000000      760.0000000      873.6565358      790.4527086  
24JUN02  02:33:01.01  1052740953.0166016    205.0000000      715.0000000      320.0000000      420.0000000      355.0000000      200.0000000      710.0000000      868.1803304      776.0585710  
24JUN02  02:38:01.29  1052740958.0205078    205.0000000      700.0000000      310.0000000      420.0000000      275.0000000      200.0000000      735.0000000      875.8096679      772.8687607  
24JUN02  02:43:01.02  1052740963.0156250    210.0000000      705.0000000      310.0000000      410.0000000      350.0000000      205.0000000      740.0000000      874.1793996      772.1985417  
24JUN02  02:48:01.24  1052740968.0205078    215.0000000      705.0000000      295.0000000      420.0000000      350.0000000      205.0000000      735.0000000      882.5197404      777.2913391  
24JUN02  02:53:01.02  1052740973.0166016    205.0000000      720.0000000      315.0000000      425.0000000      350.0000000      210.0000000      720.0000000      881.8703332      790.3084320  
24JUN02  02:58:01.30  1052740978.0214844    205.0000000      715.0000000      300.0000000      415.0000000      275.0000000      200.0000000      780.0000000      872.4750627      772.0183474  
24JUN02  03:03:01.03  1052740983.0166016    200.0000000      710.0000000      300.0000000      425.0000000      355.0000000      200.0000000      740.0000000      878.6450240      763.1156949  
24JUN02  03:08:01.03  1052740988.0166016    200.0000000      705.0000000      300.0000000      425.0000000      345.0000000      200.0000000      725.0000000      872.5357499      773.6081491  
24JUN02  03:13:01.15  1052740993.0185547    215.0000000      710.0000000      305.0000000      425.0000000      350.0000000      205.0000000      760.0000000      861.3270164      772.0351251  
24JUN02  03:18:01.04  1052740998.0166016    210.0000000      710.0000000      310.0000000      425.0000000      355.0000000      205.0000000      705.0000000      885.5418608      774.7926066  
24JUN02  03:23:00.93  1052741003.0146484    225.0000000      710.0000000      305.0000000      420.0000000      355.0000000      200.0000000      720.0000000      863.1369739      778.2073058  
24JUN02  03:28:00.93  1052741008.0146484    215.0000000      710.0000000      310.0000000      430.0000000      365.0000000      200.0000000      760.0000000      879.1649602      779.8911320  
24JUN02  03:33:00.88  1052741013.0146484    215.0000000      725.0000000      305.0000000      440.0000000      345.0000000      200.0000000      745.0000000      867.6328088      782.2764926  
24JUN02  03:38:00.89  1052741018.0146484    210.0000000      705.0000000      310.0000000      430.0000000      350.0000000      200.0000000      725.0000000      863.5418590      790.9100170  
24JUN02  03:43:00.89  1052741023.0146484    200.0000000      705.0000000      305.0000000      420.0000000      345.0000000      210.0000000      740.0000000      868.0386069      773.7692189  
24JUN02  03:48:00.89  1052741028.0146484    205.0000000      710.0000000      305.0000000      420.0000000      350.0000000      210.0000000      730.0000000      878.7984814      791.0873832  
24JUN02  03:53:00.89  1052741033.0146484    205.0000000      715.0000000      320.0000000      425.0000000      350.0000000      200.0000000      725.0000000      868.7332317      793.8177777  
24JUN02  03:58:00.90  1052741038.0146484    205.0000000      715.0000000      305.0000000      420.0000000      345.0000000      205.0000000      715.0000000      874.7661912      781.1456871  
