INFO  - 2013-06-26 16:27:35.916; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-06-26 16:27:35.929; org.apache.solr.core.SolrResourceLoader; Using JNDI solr.home: /usr/local/search-service
INFO  - 2013-06-26 16:27:35.936; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /usr/local/search-service/solr.xml
INFO  - 2013-06-26 16:27:35.938; org.apache.solr.core.CoreContainer; New CoreContainer 1023767301
INFO  - 2013-06-26 16:27:35.939; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: '/usr/local/search-service/'
INFO  - 2013-06-26 16:27:35.939; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/usr/local/search-service/'
INFO  - 2013-06-26 16:27:35.940; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/commons-logging-1.0.4.jar' to classloader
INFO  - 2013-06-26 16:27:35.941; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/log4j-1.2.16.jar' to classloader
INFO  - 2013-06-26 16:27:35.941; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/saxon-9.jar' to classloader
INFO  - 2013-06-26 16:27:35.941; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/saxon-dom-9.jar' to classloader
INFO  - 2013-06-26 16:27:35.941; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/search-service-1.3.0-dev.jar' to classloader
INFO  - 2013-06-26 16:27:35.941; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/slf4j-api-1.6.6.jar' to classloader
INFO  - 2013-06-26 16:27:35.942; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/slf4j-log4j12-1.6.6.jar' to classloader
INFO  - 2013-06-26 16:27:35.942; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/search-service/lib/solr-velocity-4.3.0.jar' to classloader
INFO  - 2013-06-26 16:27:36.225; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-06-26 16:27:36.225; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-06-26 16:27:36.226; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-06-26 16:27:36.226; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-06-26 16:27:36.226; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-06-26 16:27:36.226; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-06-26 16:27:36.227; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-06-26 16:27:36.227; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-06-26 16:27:36.227; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-06-26 16:27:36.233; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2013-06-26 16:27:36.383; org.apache.solr.core.CoreContainer; Registering Log Listener
INFO  - 2013-06-26 16:27:36.397; org.apache.solr.core.CoreContainer; Creating SolrCore 'pds' using instanceDir: /usr/local/search-service/pds
INFO  - 2013-06-26 16:27:36.397; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/usr/local/search-service/pds/'
INFO  - 2013-06-26 16:27:36.398; org.apache.solr.core.CoreContainer; Creating SolrCore 'experimental' using instanceDir: /usr/local/search-service/experimental
INFO  - 2013-06-26 16:27:36.398; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/usr/local/search-service/experimental/'
INFO  - 2013-06-26 16:27:36.488; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2013-06-26 16:27:36.488; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2013-06-26 16:27:36.573; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-06-26 16:27:36.573; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-06-26 16:27:36.580; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-06-26 16:27:36.580; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-06-26 16:27:36.628; org.apache.solr.schema.IndexSchema; Schema name=pds
INFO  - 2013-06-26 16:27:36.628; org.apache.solr.schema.IndexSchema; Schema name=pds
INFO  - 2013-06-26 16:27:36.892; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2013-06-26 16:27:36.892; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2013-06-26 16:27:36.893; org.apache.solr.schema.IndexSchema; query parser default operator is AND
INFO  - 2013-06-26 16:27:36.893; org.apache.solr.schema.IndexSchema; query parser default operator is AND
INFO  - 2013-06-26 16:27:36.894; org.apache.solr.schema.IndexSchema; unique key field: identifier
INFO  - 2013-06-26 16:27:36.894; org.apache.solr.schema.IndexSchema; unique key field: identifier
